店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
楽縁,050-5494-7699,,神奈川県,鎌倉市小町,2-11-11,大谷ビル2F,,False
燻製×チーズ パープルバー ～PURPLE BAR～ 戸塚,050-5485-3274,,,,,安東第1ビル,,False
香港飲茶 小籠包専門店 オーダー式食べ放題,050-5486-6176,,,,,,,False
海風季 横浜関内店,050-5484-5231,,神奈川県,横浜市中区住吉町,2-27-1,テーオービルB1,http://www.senzan.co.jp/,False
牛タン専門×全席個室居酒屋 うま囲 藤沢駅南口店,050-5484-0725,,神奈川県,藤沢市南藤沢,3-4,SKK南藤沢ビル7F,,False
宮崎県直送軍鶏居酒屋 陣～JIN～ 野毛店,050-5487-5446,,神奈川県,横浜市中区花咲町,1-43,3F,,False
海鮮居酒家 いろは丸 藤沢店,050-5487-2865,,神奈川県,藤沢市南藤沢,2-1-2,ザ・プライム1F,,False
すし 魚游 （うおゆう）桜木町駅前店,050-5485-3771,,神奈川県,横浜市中区花咲町,1-36,フルーレ花咲ビル1F,http://sushi-uoyu.com/,False
完全個室 朝獲れ鮮魚×炭火地鶏 和みや～なごみや～ 新横浜店,050-5487-8672,,神奈川県,横浜市港北区新横浜,2-3-11,第2徳永ビル8F,,False
横浜中華街 皇朝レストラン オーダー式食べ放題,050-5484-9830,,神奈川県,横浜市中区山下町,138-24,,https://kocho.gorp.jp/,True
オーダー式食べ放題 七福 小籠包専門店,050-5484-9017,,,,,,http://samurai-llc.com/shichifuku,False
あか牛焼肉×記念日×個室 阿吽（あうん）本厚木,050-5487-9628,,神奈川県,厚木市寿町,3-1-1,ルリエ本厚木1F,,False
【全席個室】和食郷土料理 個室居酒屋 いし柳 新横浜本店,050-5487-7407,,神奈川県,横浜市港北区新横浜,2-3-11,第二徳永ビル7F,,False
酒とめし たくを 藤沢南口店,050-5487-1143,,神奈川県,藤沢市鵠沼石上,1-7-4,オキビル2F,,False
串揚げ処 串英,050-5486-3242,,神奈川県,川崎市川崎区小川町,19-1,コーポ柴1F,http://www.kushi-hide.com/,False
博多料理と野菜巻き 個室居酒屋 なまいき 川崎店,050-5486-4871,,神奈川県,川崎市川崎区砂子,1-1-8,4F,,False
個室×食べ放題専門 大阪王将 川崎店,050-5484-2971,,神奈川県,川崎市川崎区砂子,2-11-23,コルテ松永ビル,http://www.osaka-ohsho.com/,False
Figaro（フィガロ） 本厚木駅前店,050-5486-8125,,神奈川県,厚木市中町,2-2-8,,,False
